Mon_anubis		Anubis Mummy (Hexen II)
Mon_bigfish		Big fish (Heretic II)	
Mon_bird		Bird
Mon_chicken		Chicken (Heretic II)	
Mon_rotminnows	Little Rotfish (Heretic II)	
Mon_horse		Horse (Hexen II)
Mon_harpy		Harpy (Heretic II)
Mon_manta		Manta Winged Serpent (Madfox)
Mon_plaguerat	Plague Rat (Heretic II)
Mon_rat		Rat (Heretic II)
Mon_seahorse		Seahorse (The Deepness Below)	
Mon_shark		Shark (Deepness Below)
Mon_trickster		Trickster (Heretic II Corvus)
Mon_zombieking	Zombie King (Quess)
Head gibs: H_anubis, H_shark

Anchor			Anchor (Deepness Below)
Banner			Banner (Heretic II)
Barrel1			Wooden Barrel (Heretic 1 Community Models Pack)	
Barrel2			Woven Basket (Heretic II)	
Barrel3			Clay Jar (Heretic II)	
Barrel6			Urn (Heretic II)
Beartrap		Bear Trap (Painkeep, includes 7 models: bearbld, beargib1, beargib2, beargib3, bearpick)
Bigflag			Flag (Rubicon 2)
Birdnest		Bird nest (Heretic II)	
Bust1			Dragon Head (Heretic II)	
Bust2			Fish Head (Heretic II)	
Bust3			Fish Head (Heretic II)	
Bust4			Skull Pole (Heretic II)	
Bust6			Evil Eye (Doom Community Models Pack)	
Bust7			Chaos Orb (Hexen II)
Bust8			Demoness (Hexen II)
Coin			Coin (Drake)
Corpse1		Hanging Man (An Old Old Evil)	
Corpse2		Hanging Man (An Old Old Evil)	
Corpse4		Hanging Skull (Heretic Extras)	
Corpse5		Roasting Man (An Old Old Evil)	
Corpse6		Skeleton Cage	
Corpse7		Skeleton	
Crystal			Crystal (Heretic II)
Equipment2		Catapult (Hexen II)	
Equipment3		Cart (Hexen II)	
Equipment4		Wheel (Madfox)	
Equipment5		Boat (Heretic Extras)	
Equipment6		Trident (Deepness Beneath)	
Equipment7		Sea Chest (Heretic II)	
Equipment8		Shield 1 (Heretic Extras)	
Equipment9		Shield 2 (Heretic Extras)	
Equipment10		Swords Crossed (Heretic Extras)	
Equipment11		Throne (Heretic II)	
Equipment12		Shrine (Heretic II)	
Fence			Fence (Arcane Dimensions)
Fern1			Fern (Heretic Extras)	
Fern2			Fern (Heretic Extras)	
Fern07			Low Fern (Heretic Extras, thanks to Madfox and Tintin for this conversion)
Flagpole		Flagpole (Arcane Dimensions)
Grass1			Grass (Heretic II)	
Grass2			Grass (Heretic II)	
H2p_skeleton		Skeleton (Heretic II)
HangingMoss		Hanging Moss	(Heretic Extras)
HangingEgg		Hanging Egg	(Heretic II)
Light1			Large Lantern (Fantasy Quake)	
Light2			Large Chandelier (Heretic)	
Light3			Gargoyle Brazier (Heretic)	
Light4			Candelabrum (Heretic II)
Mars			Mars Statue (Hexen II)
PlantVase1		Plant Vase (Heretic II)	
PlantVase2		Plant Vase (Hexen II)
Pritchard_chair	Chair (Pritchard)
SeaWeed1		Seaweed (Deepness Below)		
Slimespewer		Slime-spewing plant (Heretic II)
Starfish		Starfish (Deepness Below)
Statue1			Praying angel (Kreathor)	
Statue2			Goddess (Heretic Extras)
Statue3			Anubis (Hexen II)
Statue3_head		Anubis Head (Hexen II)
Statue4			Caesar (Hexen II)	
Statue5			King (Hexen II)
Statue6			Corvus (Heretic II)	
Statue7			Neptune (Hexen II)
Statue8			Pharoah (Hexen II)	
Statue9			Stygian (Heretic II)	
Statue10		Guardian (Heretic II)	
Statue11		Dragon (Heretic II)	
Statue12		Snake (Hexen II)	
Statue13		Lion (Hexen II)	
Statue14		Lizard (Heretic II)	
Statue15		Fountain (Hexen II)
Statue16		Gargoyle (Heretic Extras)
Statue16_wings	Gargoyle Wings (Heretic Extras)
Statue20		Horse (Hexen II)
Tapestry		Sail (Redfield)
Tree1			Autumn Tree (Redfield)	
Tree2			Pine Tree (Redfield)
Tree3			Pine Tree (Redfield)	
Tree4			Pine Tree (Redfield)	
Tree7			Dead Tree
Vortex			Vortex (Preach)
